SZ002129	2022-06-13	2022-10-11
SZ000938	2022-06-13	2022-10-11
SH600436	2021-06-15	2022-10-11
SZ002555	2022-06-13	2022-10-11
SZ002594	2012-07-02	2022-10-11
SZ002602	2022-06-13	2022-10-11
SZ002601	2022-06-13	2022-10-11
SZ000002	2006-05-29	2022-10-11
SZ000301	2022-06-13	2022-10-11
SH601012	2020-12-14	2022-10-11
SH603993	2022-06-13	2022-10-11
SZ000333	2006-05-29	2022-10-11
SH603799	2022-06-13	2022-10-11
SH601985	2022-06-13	2022-10-11
SH603986	2022-06-13	2022-10-11
SZ300628	2022-06-13	2022-10-11
SH603259	2018-12-17	2022-10-11
SZ300760	2021-12-13	2022-10-11
SH600989	2022-06-13	2022-10-11
SZ300782	2022-06-13	2022-10-11
SH601816	2020-06-15	2022-10-11
SH688981	2022-06-13	2022-10-11
SH600941	2022-06-13	2022-10-11
SZ300014	2021-12-13	2022-10-11
SH600010	2022-06-13	2022-10-11
SH600690	2013-12-16	2022-10-11
SH600031	2019-12-16	2022-10-11
SZ300059	2015-12-14	2022-10-11
SH600406	2019-06-17	2022-10-11
SH600309	2017-12-11	2022-10-11
SH600036	2006-05-29	2022-10-11
SH600089	2022-06-13	2022-10-11
SZ000651	2006-05-29	2022-10-11
SZ000661	2020-12-14	2022-10-11
SH600048	2006-05-29	2022-10-11
SZ002064	2022-06-13	2022-10-11
SH601088	2006-05-29	2022-10-11
SH600745	2020-12-14	2022-10-11
SZ002049	2022-06-13	2022-10-11
SH601919	2021-12-13	2022-10-11
SZ300122	2020-12-14	2022-10-11
SZ300124	2021-12-13	2022-10-11
SH601600	2022-06-13	2022-10-11
SH600426	2022-06-13	2022-10-11
SH601899	2009-01-05	2022-10-11
SZ002493	2021-06-15	2022-10-11
SZ002352	2017-06-12	2022-10-11
SH601857	2006-05-29	2022-10-11
SH601318	2006-05-29	2022-10-11
SZ002415	2011-07-01	2022-10-11
SZ002371	2022-06-13	2022-10-11
SZ002241	2022-06-13	2022-10-11
SH600570	2022-06-13	2022-10-11
SZ300274	2021-12-13	2022-10-11
SZ000063	2006-05-29	2022-10-11
SZ000725	2014-12-15	2022-10-11
SZ002648	2022-06-13	2022-10-11
SZ002709	2022-06-13	2022-10-11
SZ002714	2020-06-15	2022-10-11
SH601225	2022-06-13	2022-10-11
SZ300413	2022-06-13	2022-10-11
SZ300450	2022-06-13	2022-10-11
SZ001979	2022-06-13	2022-10-11
SZ002812	2021-12-13	2022-10-11
SH603501	2020-12-14	2022-10-11
SH603260	2022-06-13	2022-10-11
SZ300750	2021-12-13	2022-10-11
SH600905	2021-12-13	2022-10-11
SH601728	2021-12-13	2022-10-11
SZ300015	2019-12-16	2022-10-11
SH600900	2006-05-29	2022-10-11
SH600176	2022-06-13	2022-10-11
SH600028	2006-05-29	2022-10-11
SH600346	2019-12-16	2022-10-11
SH600219	2022-06-13	2022-10-11
SH600111	2022-06-13	2022-10-11
SH600585	2006-05-29	2022-10-11
SZ000792	2022-06-13	2022-10-11
SH600519	2006-05-29	2022-10-11
SH600893	2022-06-13	2022-10-11
SH600050	2006-05-29	2022-10-11
SZ300142	2022-06-13	2022-10-11
SZ000708	2022-06-13	2022-10-11
SZ002027	2016-06-13	2022-10-11
SH601398	2006-05-29	2022-10-11
SZ002271	2022-06-13	2022-10-11
SZ002475	2019-12-16	2022-10-11
SH601766	2009-07-01	2022-10-11
SH601668	2010-01-04	2022-10-11
SZ000100	2022-06-13	2022-10-11
SH600438	2021-06-15	2022-10-11
SZ002080	2022-06-13	2022-10-11
SH600588	2020-12-14	2022-10-11
SH600019	2006-05-29	2022-10-11
SZ002460	2022-06-13	2022-10-11
SZ000338	2022-06-13	2022-10-11
SH600276	2013-01-04	2022-10-11
SH601888	2018-12-17	2022-10-11
SZ002410	2022-06-13	2022-10-11
SZ002230	2022-06-13	2022-10-11
SH601601	2006-05-29	2022-06-10
SH601166	2006-05-29	2022-06-10
SH601211	2015-12-14	2022-06-10
SH601229	2017-06-12	2022-06-10
SH601288	2006-05-29	2022-06-10
SH601319	2019-06-17	2022-06-10
SH601138	2018-12-17	2022-06-10
SH601328	2006-05-29	2022-06-10
SH601336	2012-07-02	2022-06-10
SH601390	2006-05-29	2022-06-10
SH601818	2011-01-04	2022-06-10
SH601628	2006-05-29	2022-06-10
SH601633	2021-06-15	2022-06-10
SH601658	2020-06-15	2022-06-10
SH601688	2010-07-01	2022-06-10
SH601988	2006-05-29	2022-06-10
SH601995	2021-06-15	2022-06-10
SH601998	2006-05-29	2022-06-10
SH603288	2018-06-11	2022-06-10
SH688111	2021-06-15	2022-06-10
SH600999	2010-07-01	2022-06-10
