SH600219	2022-06-13	2022-10-11
SZ000977	2020-06-15	2022-10-11
SH601818	2011-01-04	2022-10-11
SH600760	2018-12-17	2022-10-11
SH600795	2005-01-01	2022-10-11
SH600111	2005-01-01	2022-10-11
SH600809	2018-06-11	2022-10-11
SH600030	2005-01-01	2022-10-11
SH600362	2005-01-01	2022-10-11
SH600585	2005-01-01	2022-10-11
SZ000768	2005-01-01	2022-10-11
SZ000792	2022-06-13	2022-10-11
SH600519	2005-01-01	2022-10-11
SH600887	2011-01-04	2022-10-11
SH600893	2011-01-04	2022-10-11
SH600050	2005-01-01	2022-10-11
SZ300142	2018-12-17	2022-10-11
SZ000703	2018-12-17	2022-10-11
SZ000708	2020-06-15	2022-10-11
SZ002027	2016-06-13	2022-10-11
SZ002032	2018-12-17	2022-10-11
SH601398	2005-01-01	2022-10-11
SZ300015	2017-12-11	2022-10-11
SH600188	2022-06-13	2022-10-11
SH600900	2005-01-01	2022-10-11
SH600332	2013-07-01	2022-10-11
SH600176	2018-06-11	2022-10-11
SH600600	2020-12-14	2022-10-11
SH601155	2016-12-12	2022-10-11
SZ300496	2022-06-13	2022-10-11
SZ001979	2005-01-01	2022-10-11
SZ002791	2021-12-13	2022-10-11
SH601966	2021-12-13	2022-10-11
SH600919	2017-06-12	2022-10-11
SZ002812	2020-12-14	2022-10-11
SH600926	2017-06-12	2022-10-11
SZ002821	2020-12-14	2022-10-11
SH603833	2017-12-11	2022-10-11
SH603501	2019-12-16	2022-10-11
SZ300661	2022-06-13	2022-10-11
SH601878	2017-12-11	2022-10-11
SH603882	2021-06-15	2022-10-11
SH603260	2021-12-13	2022-10-11
SH600025	2018-06-11	2022-10-11
SZ002920	2022-06-13	2022-10-11
SH603486	2021-12-13	2022-10-11
SH601138	2018-12-17	2022-10-11
SZ300750	2021-12-13	2022-10-11
SZ002938	2019-06-17	2022-10-11
SH601319	2019-06-17	2022-10-11
SH603185	2022-06-13	2022-10-11
SZ300759	2021-12-13	2022-10-11
SH601865	2021-12-13	2022-10-11
SH688008	2020-12-14	2022-10-11
SZ002271	2018-12-17	2022-10-11
SZ002475	2014-06-16	2022-10-11
SH601766	2009-07-01	2022-10-11
SH601668	2010-01-04	2022-10-11
SZ002304	2010-07-01	2022-10-11
SH601688	2010-07-01	2022-10-11
SZ000100	2009-01-05	2022-10-11
SH688012	2020-12-14	2022-10-11
SH603290	2022-06-13	2022-10-11
SH603195	2020-12-14	2022-10-11
SH600438	2018-06-11	2022-10-11
SH601808	2018-06-11	2022-10-11
SH601288	2005-01-01	2022-10-11
SZ002001	2018-12-17	2022-10-11
SH601117	2022-06-13	2022-10-11
SH688126	2021-06-15	2022-10-11
SH603392	2020-12-14	2022-10-11
SH688065	2022-06-13	2022-10-11
SH600018	2013-12-16	2022-10-11
SH600763	2020-12-14	2022-10-11
SH600383	2005-01-01	2022-10-11
SH600588	2009-01-05	2022-10-11
SH600019	2005-01-01	2022-10-11
SH600016	2005-01-01	2022-10-11
SH600011	2017-12-11	2022-10-11
SZ002459	2021-12-13	2022-10-11
SZ002460	2017-12-11	2022-10-11
SZ000338	2005-01-01	2022-10-11
SH601995	2021-06-15	2022-10-11
SZ300957	2022-06-13	2022-10-11
SH605499	2021-12-13	2022-10-11
SH600905	2021-12-13	2022-10-11
SH601728	2021-12-13	2022-10-11
SZ001289	2022-06-13	2022-10-11
SH600276	2011-01-04	2022-10-11
SH600000	2005-01-01	2022-10-11
SZ002466	2021-12-13	2022-10-11
SH601888	2010-07-01	2022-10-11
SZ002410	2019-06-17	2022-10-11
SH601877	2016-12-12	2022-10-11
SZ002230	2013-12-16	2022-10-11
SH601601	2005-01-01	2022-10-11
SZ002414	2020-12-14	2022-10-11
SZ002179	2018-12-17	2022-10-11
SH601788	2015-06-15	2022-10-11
SZ002142	2005-01-01	2022-10-11
SH601009	2005-01-01	2022-10-11
SZ002074	2022-06-13	2022-10-11
SH600606	2016-06-13	2022-10-11
SH600660	2005-01-01	2022-10-11
SH600741	2005-01-01	2022-10-11
SH600886	2013-01-04	2022-10-11
SZ002252	2014-06-16	2022-10-11
SH601989	2010-07-01	2022-10-11
SZ300033	2016-12-12	2022-10-11
SH601186	2009-01-05	2022-10-11
SH601318	2005-01-01	2022-10-11
SH601006	2005-01-01	2022-10-11
SZ002415	2011-01-04	2022-10-11
SH601377	2011-07-01	2022-10-11
SZ000800	2021-06-15	2022-10-11
SZ002371	2020-06-15	2022-10-11
SZ002241	2012-07-02	2022-10-11
SH601328	2005-01-01	2022-10-11
SH601169	2005-01-01	2022-10-11
SZ000877	2022-06-13	2022-10-11
SZ000895	2005-01-01	2022-10-11
SH600547	2005-01-01	2022-10-11
SH600015	2005-01-01	2022-10-11
SH600584	2020-12-14	2022-10-11
SH600489	2005-01-01	2022-10-11
SH601799	2021-06-15	2022-10-11
SZ000963	2013-07-01	2022-10-11
SH600570	2014-12-15	2022-10-11
SZ000425	2005-01-01	2022-10-11
SZ300223	2022-06-13	2022-10-11
SZ002600	2020-12-14	2022-10-11
SH601216	2014-06-16	2022-10-11
SZ002568	2021-12-13	2022-10-11
SH601100	2020-06-15	2022-10-11
SZ300274	2021-06-15	2022-10-11
SZ000063	2005-01-01	2022-10-11
SZ000069	2005-01-01	2022-10-11
SZ000157	2005-01-01	2022-10-11
SZ000625	2005-01-01	2022-10-11
SZ000725	2012-07-02	2022-10-11
SZ002648	2022-06-13	2022-10-11
SZ002709	2021-12-13	2022-10-11
SZ002714	2016-12-12	2022-10-11
SH601225	2014-06-16	2022-10-11
SH603288	2018-06-11	2022-10-11
SH603369	2020-06-15	2022-10-11
SH603019	2019-06-17	2022-10-11
SZ300408	2018-06-11	2022-10-11
SZ002736	2015-06-15	2022-10-11
SZ300413	2019-06-17	2022-10-11
SH601021	2015-06-15	2022-10-11
SZ000166	2005-01-01	2022-10-11
SZ300433	2018-06-11	2022-10-11
SZ300450	2021-06-15	2022-10-11
SH601211	2015-12-14	2022-10-11
SZ300498	2019-06-17	2022-10-11
SH601990	2020-12-14	2022-06-10
SH601162	2019-06-17	2022-06-10
SH601231	2020-06-15	2022-06-10
SH601607	2010-07-01	2022-06-10
SH601696	2020-12-14	2022-06-10
SH601933	2011-07-01	2022-06-10
SH603517	2021-06-15	2022-06-10
SH603233	2021-06-15	2022-06-10
SH603338	2021-06-15	2022-06-10
SH600872	2020-12-14	2022-06-10
SH603658	2020-06-15	2022-06-10
SH603939	2021-06-15	2022-06-10
SH688009	2020-12-14	2022-06-10
SH601108	2018-06-11	2022-06-10
SZ300558	2021-06-15	2022-06-10
SH600848	2019-12-16	2022-06-10
SZ300144	2015-12-14	2022-06-10
SH600143	2021-06-15	2022-06-10
SZ002024	2005-01-01	2022-06-10
SZ002044	2017-06-12	2022-06-10
SZ002157	2020-06-15	2022-06-10
SZ002624	2017-12-11	2022-06-10
SZ000783	2005-01-01	2022-06-10
SZ300677	2021-06-15	2022-06-10
SZ300888	2021-12-13	2022-06-10
SH600079	2021-06-15	2022-06-10
SH600109	2005-01-01	2022-06-10
SZ300676	2020-12-14	2022-06-10
SH600522	2017-06-12	2021-12-10
SH600233	2017-06-12	2021-12-10
SH600299	2019-06-17	2021-12-10
SH600340	2013-01-04	2021-12-10
SH600482	2016-12-12	2021-12-10
SH600521	2021-06-15	2021-12-10
SH601077	2020-06-15	2021-12-10
SH600703	2011-01-04	2021-12-10
SH600705	2013-12-16	2021-12-10
SH601727	2014-12-15	2021-12-10
SH601872	2020-12-14	2021-12-10
SZ300136	2017-12-11	2021-12-10
SH600118	2005-01-01	2021-12-10
SH601555	2012-07-02	2021-12-10
SZ002945	2019-06-17	2021-12-10
SZ002463	2020-06-15	2021-12-10
SZ000728	2005-01-01	2021-12-10
SZ000860	2020-06-15	2021-12-10
SZ002153	2014-12-15	2021-12-10
SZ002384	2020-12-14	2021-12-10
SZ002456	2013-12-16	2021-12-10
SZ000656	2019-06-17	2021-12-10
SZ002508	2017-06-12	2021-12-10
SZ002773	2018-12-17	2021-12-10
SZ002558	2017-06-12	2021-12-10
SZ002939	2019-06-17	2021-12-10
SZ002739	2019-06-17	2021-12-10
SZ002673	2013-01-04	2021-12-10
SH600498	2016-12-12	2021-06-11
SH600297	2016-12-12	2021-06-11
SH600369	2010-01-04	2021-06-11
SH600390	2017-12-11	2021-06-11
SH600487	2018-06-11	2021-06-11
SH600208	2005-01-01	2021-06-11
SH600637	2013-01-04	2021-06-11
SH600998	2018-12-17	2021-06-11
SH601198	2015-12-14	2021-06-11
SH601577	2019-06-17	2021-06-11
SH603156	2018-12-17	2021-06-11
SH600271	2005-01-01	2021-06-11
SH601117	2017-06-12	2021-06-11
SH600177	2005-01-01	2021-06-11
SZ002146	2011-01-04	2021-06-11
SZ000671	2016-12-12	2021-06-11
SZ000723	2019-12-16	2021-06-11
SZ000961	2017-06-12	2021-06-11
SZ000627	2016-12-12	2021-06-11
SH600068	2005-01-01	2021-06-11
SZ002422	2018-12-17	2021-06-11
SH600004	2018-12-17	2021-06-11
SH600027	2018-12-17	2021-06-11
SH600066	2005-01-01	2021-06-11
SZ002958	2019-12-16	2021-06-11
SH601212	2017-12-11	2020-12-11
SH600928	2019-12-16	2020-12-11
SH600968	2019-12-16	2020-12-11
SH600977	2017-06-12	2020-12-11
SH601018	2011-07-01	2020-12-11
SH603260	2018-06-11	2020-12-11
SH601298	2019-06-17	2020-12-11
SH601828	2018-06-11	2020-12-11
SH601898	2017-12-11	2020-12-11
SH601992	2017-06-12	2020-12-11
SH601997	2017-06-12	2020-12-11
SH600674	2009-01-05	2020-12-11
SH600867	2018-06-11	2020-12-11
SH600516	2018-06-11	2020-12-11
SH600583	2005-01-01	2020-12-11
SH600089	2005-01-01	2020-12-11
SH600398	2018-06-11	2020-12-11
SZ002466	2016-12-12	2020-12-11
SZ002468	2017-12-11	2020-12-11
SH600038	2014-12-15	2020-12-11
SZ000709	2005-01-01	2020-12-11
SH600170	2005-01-01	2020-12-11
SH600188	2005-01-01	2020-12-11
SH600219	2017-12-11	2020-12-11
SH600221	2005-01-01	2020-12-11
SH600372	2012-01-04	2020-12-11
SZ300024	2014-12-15	2020-06-12
SH600816	2016-06-13	2020-06-12
SH600733	2019-06-17	2020-06-12
SH600663	2019-06-17	2020-06-12
SH600566	2018-12-17	2020-06-12
SH600535	2011-01-04	2020-06-12
SH600153	2005-01-01	2020-06-12
SH600100	2005-01-01	2020-06-12
SH600023	2014-06-16	2020-06-12
SZ300070	2014-12-15	2020-06-12
SZ002411	2017-06-12	2020-06-12
SZ300017	2014-12-15	2020-06-12
SZ000630	2005-01-01	2020-06-12
SZ000413	2014-06-16	2020-06-12
SZ000415	2015-12-14	2020-06-12
SZ000629	2019-06-17	2020-06-12
